,sku,id,lineId,imageSmallUrl,originalImage,productName,brandName,price,discountPrice,discountPercent,links,mainColor,masterCategoryName,subCategoryName,exclusiveToKoovs,isSkuOutOfStock,isProductOutOfStock,hasLooksAvailable,isTrending,url_given,PAGE_URL_COMPLETE
31,1890477,127778,143186,https://product.koovs.com/127778_6622970b9a6d587e9c927e91a82e2c3c.jpg,https://product.koovs.com/width/height/127778_6622970b9a6d587e9c927e91a82e2c3c.jpg,KOOVS Segment Panel Slim Jeans,K Denim,1499,750,50,"[{'href': '/k-denim-segment-panel-jeans-127778-143186.html', 'rel': 'self', 'method': 'GET'}]",['White'],['Jeans'],['Slim Jeans'],False,False,False,False,False,/k-denim-segment-panel-jeans-127778-143186.html,www.koovs.com/k-denim-segment-panel-jeans-127778-143186.html
32,1887634,127196,142544,https://product.koovs.com/127196_4d2543991344b50121f28c7ac7bab2e9.jpg,https://product.koovs.com/width/height/127196_4d2543991344b50121f28c7ac7bab2e9.jpg,KOOVS D-Ring Side Stripe Slim Jeans,K Denim,1499,749,50,"[{'href': '/k-denim-d-ring-jeans-127196-142544.html', 'rel': 'self', 'method': 'GET'}]",['Black'],['Jeans'],['Slim Jeans'],False,False,False,False,False,/k-denim-d-ring-jeans-127196-142544.html,www.koovs.com/k-denim-d-ring-jeans-127196-142544.html
33,1897585,129305,144896,https://product.koovs.com/129305_664455a4a8336a75874024f27c47fe6d.jpg,https://product.koovs.com/width/height/129305_664455a4a8336a75874024f27c47fe6d.jpg,Contrast Side Tape Skinny Jeans,IMPACKT,1599,800,50,"[{'href': '/impackt-skinny-denim-with-side-taping-146-129305-144896.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Jeans'],['Skinny Jeans'],False,False,False,False,False,/impackt-skinny-denim-with-side-taping-146-129305-144896.html,www.koovs.com/impackt-skinny-denim-with-side-taping-146-129305-144896.html
34,1897552,129296,144887,https://product.koovs.com/129296_150128605c8da30a16da296cb8c2a9cc.jpg,https://product.koovs.com/width/height/129296_150128605c8da30a16da296cb8c2a9cc.jpg,Biker Detail Skinny Jeans,IMPACKT,1599,800,50,"[{'href': '/impackt-biker-detail-skinny-denim-129296-144887.html', 'rel': 'self', 'method': 'GET'}]",['Black'],['Jeans'],['Skinny Jeans'],False,False,False,False,False,/impackt-biker-detail-skinny-denim-129296-144887.html,www.koovs.com/impackt-biker-detail-skinny-denim-129296-144887.html
35,1889909,127682,143060,https://product.koovs.com/127682_10de37507d0e4a0f38d38003cb1c4d6f.jpg,https://product.koovs.com/width/height/127682_10de37507d0e4a0f38d38003cb1c4d6f.jpg,Basic Light Wash Slim Jeans,Lee Cooper,2699,1350,50,"[{'href': '/lcmd-4192-565-a-fl-lc12-30-black-127682-143060.html', 'rel': 'self', 'method': 'GET'}]",['Black'],['Jeans'],['Slim Jeans'],False,False,False,False,False,/lcmd-4192-565-a-fl-lc12-30-black-127682-143060.html,www.koovs.com/lcmd-4192-565-a-fl-lc12-30-black-127682-143060.html
36,1852852,119860,134314,https://product.koovs.com/119860_e2e2ca93dd8fb34e8c500d04b990614f.jpg,https://product.koovs.com/width/height/119860_e2e2ca93dd8fb34e8c500d04b990614f.jpg,KOOVS Contrast Tape Cropped Slim Jeans,K Denim,1699,850,50,"[{'href': '/koovs-zip-knee-jeans-119860-134314.html', 'rel': 'self', 'method': 'GET'}]",['Blue'],['Jeans'],['Slim Jeans'],False,False,False,False,False,/koovs-zip-knee-jeans-119860-134314.html,www.koovs.com/koovs-zip-knee-jeans-119860-134314.html
37,1841379,117564,131647,https://product.koovs.com/117564_8a26ef2a11b73fe1e0e28bf3504efef6.jpg,https://product.koovs.com/width/height/117564_8a26ef2a11b73fe1e0e28bf3504efef6.jpg,Side Tape Panelled Skinny Jeans,K Denim,1899,950,50,"[{'href': '/k-denim-side-tape-panel-jeans-117564-131647.html', 'rel': 'self', 'method': 'GET'}]",['Blue'],['Jeans'],['Skinny Jeans'],False,False,False,False,False,/k-denim-side-tape-panel-jeans-117564-131647.html,www.koovs.com/k-denim-side-tape-panel-jeans-117564-131647.html
38,362510,87363,97327,https://product.koovs.com/87363_f8f2797021728bc0cc1c0af9bd8d92a2.jpg,https://product.koovs.com/width/height/87363_f8f2797021728bc0cc1c0af9bd8d92a2.jpg,KOOVS  Mid Wash Slim Fit Jeans With Patch Removal,K Denim,1695,849,50,"[{'href': '/k-denim-mid-wash-slim-fit-jeans-with-patch-removal-87363-97327.html', 'rel': 'self', 'method': 'GET'}]",['Blue'],['Jeans'],['Slim Jeans'],False,False,False,False,False,/k-denim-mid-wash-slim-fit-jeans-with-patch-removal-87363-97327.html,www.koovs.com/k-denim-mid-wash-slim-fit-jeans-with-patch-removal-87363-97327.html
39,357922,86564,96338,https://product.koovs.com/86564_2afd37d375803972677896ad15b917a9.jpg,https://product.koovs.com/width/height/86564_2afd37d375803972677896ad15b917a9.jpg,KOOVS  Washed Indigo Knitted Denim Skinny Fit,K Denim,1695,849,50,"[{'href': '/k-denim-washed-indigo-knitted-denim-skinny-fit-86564-96338.html', 'rel': 'self', 'method': 'GET'}]",['Blue'],['Jeans'],['Skinny Jeans'],False,False,False,False,False,/k-denim-washed-indigo-knitted-denim-skinny-fit-86564-96338.html,www.koovs.com/k-denim-washed-indigo-knitted-denim-skinny-fit-86564-96338.html
40,357858,86551,96325,https://product.koovs.com/86551_27abc796da36d83b3f57f2a1584de7b3.jpg,https://product.koovs.com/width/height/86551_27abc796da36d83b3f57f2a1584de7b3.jpg,KOOVS  Contrast Camo Light-wash Slim Fit Jeans,K Denim,1695,849,50,"[{'href': '/k-denim-contrast-camo-light-wash-slim-fit-jeans-86551-96325.html', 'rel': 'self', 'method': 'GET'}]",['Blue'],['Jeans'],['Slim Jeans'],False,False,False,False,False,/k-denim-contrast-camo-light-wash-slim-fit-jeans-86551-96325.html,www.koovs.com/k-denim-contrast-camo-light-wash-slim-fit-jeans-86551-96325.html
41,1834236,116163,130035,https://product.koovs.com/116163_de3feebbf70939097a33fc7c8048d1a9.jpg,https://product.koovs.com/width/height/116163_de3feebbf70939097a33fc7c8048d1a9.jpg,Distressed Side Tape Skinny Jeans,Kultprit,1999,1000,50,"[{'href': '/kultprit-skinny-jeans-with-distress-and-woven-tapes-116163-130035.html', 'rel': 'self', 'method': 'GET'}]",['Black'],['Jeans'],['Skinny Jeans'],False,False,False,False,False,/kultprit-skinny-jeans-with-distress-and-woven-tapes-116163-130035.html,www.koovs.com/kultprit-skinny-jeans-with-distress-and-woven-tapes-116163-130035.html
42,1821747,113741,127189,https://product.koovs.com/113741_6cdaa0ce5037a46f5af17bce0ef31c7a.jpg,https://product.koovs.com/width/height/113741_6cdaa0ce5037a46f5af17bce0ef31c7a.jpg,KOOVS Metal Rings Skinny Jeans,K Denim,1999,900,55,"[{'href': '/k-denim-metal-rings-jeans-52-113741-127189.html', 'rel': 'self', 'method': 'GET'}]",['Black'],['Jeans'],['Skinny Jeans'],False,False,False,False,False,/k-denim-metal-rings-jeans-52-113741-127189.html,www.koovs.com/k-denim-metal-rings-jeans-52-113741-127189.html
43,1796422,108562,121226,https://product.koovs.com/121226_dda38719597c4279b5bf56a3611107c7_image1_super_zoom.jpg,https://product.koovs.com/width/height/121226_dda38719597c4279b5bf56a3611107c7_image1_super_zoom.jpg,KOOVS Knee Rip Skinny Jeans,K Denim,1299,585,55,"[{'href': '/knee-rip-skinny-jeans-340-108562-121226.html', 'rel': 'self', 'method': 'GET'}]",['White'],['Jeans'],['Skinny Jeans'],False,False,False,False,False,/knee-rip-skinny-jeans-340-108562-121226.html,www.koovs.com/knee-rip-skinny-jeans-340-108562-121226.html
44,1796497,108577,121241,https://product.koovs.com/108577_e5a30186d23581f2657235c3ea4b91a8.jpg,https://product.koovs.com/width/height/108577_e5a30186d23581f2657235c3ea4b91a8.jpg,KOOVS Light Wash Slim Fit Jeans,K Denim,999,499,50,"[{'href': '/k-denim-washed-slim-jeans-483-108577-121241.html', 'rel': 'self', 'method': 'GET'}]",['Black'],['Jeans'],['Slim Jeans'],False,False,False,False,False,/k-denim-washed-slim-jeans-483-108577-121241.html,www.koovs.com/k-denim-washed-slim-jeans-483-108577-121241.html
45,452754,106004,118364,https://product.koovs.com/118364_0e48fbeb80dc41a9b966d8edfea8ffce_image1_super_zoom.jpg,https://product.koovs.com/width/height/118364_0e48fbeb80dc41a9b966d8edfea8ffce_image1_super_zoom.jpg,KOOVS Skinny Fit Jeans,K Denim,999,299,70,"[{'href': '/k-denim-basic-skinny-jeans-274-106004-118364.html', 'rel': 'self', 'method': 'GET'}]",['White'],['Jeans'],['Skinny Jeans'],False,False,False,False,True,/k-denim-basic-skinny-jeans-274-106004-118364.html,www.koovs.com/k-denim-basic-skinny-jeans-274-106004-118364.html
