,sku,id,lineId,imageSmallUrl,originalImage,productName,brandName,price,discountPrice,discountPercent,revertPriceText,links,mainColor,masterCategoryName,subCategoryName,exclusiveToKoovs,merchantDetails,isSkuOutOfStock,isProductOutOfStock,hasLooksAvailable,isTrending,url_given,PAGE_URL_COMPLETE
26,1935692,137148,154044,https://product.koovs.com/154044_37cbe4038bbe4f75afe7c08cbae08ff5_image1_super_zoom.jpg,https://product.koovs.com/width/height/154044_37cbe4038bbe4f75afe7c08cbae08ff5_image1_super_zoom.jpg,Long Sleeve Regular Shirt,KOOVS,999,999,0,Price After Sale,"[{'href': '/koovs-classic-fit-long--sleeve-shirt-137148-154044.html', 'rel': 'self', 'method': 'GET'}]",['Green'],['Shirts'],['Casual Shirts'],False,,False,False,False,False,/koovs-classic-fit-long--sleeve-shirt-137148-154044.html,www.koovs.com/koovs-classic-fit-long--sleeve-shirt-137148-154044.html
27,1936328,137243,154168,https://product.koovs.com/154168_ae3a52719dd346beaa319aeb869dd096_image1_super_zoom.jpg,https://product.koovs.com/width/height/154168_ae3a52719dd346beaa319aeb869dd096_image1_super_zoom.jpg,Abstract Print Twin Pocket Shirt,KOOVS,1299,1299,0,Price After Sale,"[{'href': '/koovs-abstract-camo-ss-shirt-137243-154168.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Shirts'],['Casual Shirts'],False,,False,False,False,False,/koovs-abstract-camo-ss-shirt-137243-154168.html,www.koovs.com/koovs-abstract-camo-ss-shirt-137243-154168.html
28,1936325,137242,154167,https://product.koovs.com/154167_05630ea51e384222981f7fa7ab6096f4_image1_super_zoom.jpg,https://product.koovs.com/width/height/154167_05630ea51e384222981f7fa7ab6096f4_image1_super_zoom.jpg,Abstract Check Print Cuban Collar Shirt,KOOVS,999,999,0,Price After Sale,"[{'href': '/koovs-abstract-camo-cuban-collar-shirt-137242-154167.html', 'rel': 'self', 'method': 'GET'}]",['Black'],['Shirts'],['Casual Shirts'],False,,False,False,False,False,/koovs-abstract-camo-cuban-collar-shirt-137242-154167.html,www.koovs.com/koovs-abstract-camo-cuban-collar-shirt-137242-154167.html
29,1936310,137238,154164,https://product.koovs.com/154164_b9b19ebaeb004775a809d8d211bf9a9b_image1_super_zoom.jpg,https://product.koovs.com/width/height/154164_b9b19ebaeb004775a809d8d211bf9a9b_image1_super_zoom.jpg,Yarn-Dyed Vertical Stripe Short Sleeve Shirt,Garcon,1299,1299,0,Price After Sale,"[{'href': '/garcon-yarn-dyed-short-sleeve-shirt-137238-154164.html', 'rel': 'self', 'method': 'GET'}]",['Green'],['Shirts'],['Casual Shirts'],True,Koovs Exclusive,False,False,False,False,/garcon-yarn-dyed-short-sleeve-shirt-137238-154164.html,www.koovs.com/garcon-yarn-dyed-short-sleeve-shirt-137238-154164.html
30,1917021,133234,149508,https://product.koovs.com/149508_272cb7d2119e471d94057d34f4527add_image1_super_zoom.jpg,https://product.koovs.com/width/height/149508_272cb7d2119e471d94057d34f4527add_image1_super_zoom.jpg,Twin Pocket Casual Shirt,CHELSEA KING,1999,199,90,Price After Sale,"[{'href': '/chelsea-king-snap-detail-trim-long-sleeve-shirt-336-133234-149508.html', 'rel': 'self', 'method': 'GET'}]",['Green'],['Shirts'],['Casual Shirts'],False,,False,False,False,True,/chelsea-king-snap-detail-trim-long-sleeve-shirt-336-133234-149508.html,www.koovs.com/chelsea-king-snap-detail-trim-long-sleeve-shirt-336-133234-149508.html
31,1917017,133233,149507,https://product.koovs.com/149507_512108ee583e47d687a9421152acbb16_image1_super_zoom.jpg,https://product.koovs.com/width/height/149507_512108ee583e47d687a9421152acbb16_image1_super_zoom.jpg,Twin Pocket Casual Shirt,CHELSEA KING,1999,199,90,Price After Sale,"[{'href': '/chelsea-king-snap-detail-trim-long-sleeve-shirt-133233-149507.html', 'rel': 'self', 'method': 'GET'}]",['Blue'],['Shirts'],['Casual Shirts'],False,,False,False,False,True,/chelsea-king-snap-detail-trim-long-sleeve-shirt-133233-149507.html,www.koovs.com/chelsea-king-snap-detail-trim-long-sleeve-shirt-133233-149507.html
32,1916986,133225,149499,https://product.koovs.com/149499_7e75ab4ad7294f478155a12b9dc75eee_image1_super_zoom.jpg,https://product.koovs.com/width/height/149499_7e75ab4ad7294f478155a12b9dc75eee_image1_super_zoom.jpg,Twin Pocket Washed Jersey Shirt,CHELSEA KING,1899,380,80,Price After Sale,"[{'href': '/chelsea-king-washed-indigo-jersey-long-sleeve-shirt-133225-149499.html', 'rel': 'self', 'method': 'GET'}]",['Blue'],['Shirts'],['Casual Shirts'],False,,False,False,False,False,/chelsea-king-washed-indigo-jersey-long-sleeve-shirt-133225-149499.html,www.koovs.com/chelsea-king-washed-indigo-jersey-long-sleeve-shirt-133225-149499.html
33,1916984,133224,149498,https://product.koovs.com/149498_a5bd7bf454fd4ad7b5136654f26103e1_image1_super_zoom.jpg,https://product.koovs.com/width/height/149498_a5bd7bf454fd4ad7b5136654f26103e1_image1_super_zoom.jpg,Twin Pocket Washed Jersey Shirt,CHELSEA KING,1999,399,80,Price After Sale,"[{'href': '/chelsea-king-washed-black-jersey-long-sleeve-shirt-133224-149498.html', 'rel': 'self', 'method': 'GET'}]",['Black'],['Shirts'],['Casual Shirts'],False,,False,False,False,False,/chelsea-king-washed-black-jersey-long-sleeve-shirt-133224-149498.html,www.koovs.com/chelsea-king-washed-black-jersey-long-sleeve-shirt-133224-149498.html
34,1916969,133221,149495,https://product.koovs.com/149495_645c8beee5db449f92ed97173a89d601_image1_super_zoom.jpg,https://product.koovs.com/width/height/149495_645c8beee5db449f92ed97173a89d601_image1_super_zoom.jpg,Slogan Back Ripped Sleeve Shirt,CHELSEA KING,1999,399,80,Price After Sale,"[{'href': '/chelsea-king-slogan-print-long-sleeve-shirt-133221-149495.html', 'rel': 'self', 'method': 'GET'}]",['White'],['Shirts'],['Casual Shirts'],False,,False,False,False,False,/chelsea-king-slogan-print-long-sleeve-shirt-133221-149495.html,www.koovs.com/chelsea-king-slogan-print-long-sleeve-shirt-133221-149495.html
35,1821779,113747,127196,https://product.koovs.com/127196_6648632c9d364ea08a43826bcc5f35a8_image1_super_zoom.jpg,https://product.koovs.com/width/height/127196_6648632c9d364ea08a43826bcc5f35a8_image1_super_zoom.jpg,Abstract Camo Check Shirt,KOOVS,1299,1299,0,Price After Sale,"[{'href': '/koovs-camo-check-printed-viscose-shirt-113747-127196.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Shirts'],['Casual Shirts'],False,,False,False,False,False,/koovs-camo-check-printed-viscose-shirt-113747-127196.html,www.koovs.com/koovs-camo-check-printed-viscose-shirt-113747-127196.html
